State Code,District Code,Tahsil/ Sub-District Code,Town/ Village Code,Ward Code,Enumeration Block Code,Level,Name,Total/ Rural/ Urban,Total - Persons,Total - Males,Total - Females,Scheduled Caste - Persons,Scheduled Caste - Males,Scheduled Caste - Females,Scheduled Tribe - Persons,Scheduled Tribe - Males,Scheduled Tribe - Females
33,15,0000,00000000,0,0,DISTRICT,Tiruchirappalli,Total,2418366,1208534,1209832,399493,197917,201576,18912,9596,9316
33,15,0000,00000000,0,0,DISTRICT,Tiruchirappalli,Rural,1279204,638617,640587,261417,129181,132236,14383,7324,7059
33,15,0000,00000000,0,0,DISTRICT,Tiruchirappalli,Urban,1139162,569917,569245,138076,68736,69340,4529,2272,2257
33,15,0001,00000000,0,0,TALUK,Thottiyam,Total,126569,63461,63108,26826,13285,13541,68,37,31
33,15,0001,00000000,0,0,TALUK,Thottiyam,Rural,101768,51128,50640,19952,9882,10070,67,36,31
33,15,0001,00000000,0,0,TALUK,Thottiyam,Urban,24801,12333,12468,6874,3403,3471,1,1,0
33,15,0001,00883400,0,0,VILLAGE,Kidaram,Rural,1923,978,945,395,189,206,0,0,0
33,15,0001,00883500,0,0,VILLAGE,Murungai,Rural,2865,1450,1415,711,362,349,0,0,0
33,15,0001,00883600,0,0,VILLAGE,Valveluthur,Rural,638,333,305,233,121,112,0,0,0
33,15,0001,00883700,0,0,VILLAGE,M.Kalathur,Rural,4117,2061,2056,1358,663,695,0,0,0
33,15,0001,00883800,0,0,VILLAGE,Elurpatti,Rural,7174,3624,3550,711,376,335,0,0,0
33,15,0001,00883900,0,0,VILLAGE,Kamalapuram,Rural,4152,2126,2026,200,106,94,0,0,0
33,15,0001,00884000,0,0,VILLAGE,Arangoor,Rural,4341,2225,2116,422,221,201,0,0,0
33,15,0001,00884100,0,0,VILLAGE,Appanallur,Rural,5386,2745,2641,1436,727,709,0,0,0
33,15,0001,00884200,0,0,VILLAGE,Kolakudi,Rural,5074,2558,2516,1402,706,696,0,0,0
33,15,0001,00884300,0,0,VILLAGE,Tholurpatti,Rural,12945,6575,6370,217,98,119,0,0,0
33,15,0001,00884400,0,0,VILLAGE,Nagayanallur,Rural,5554,2755,2799,1649,819,830,0,0,0
33,15,0001,00884500,0,0,VILLAGE,Pidaramangalam,Rural,2213,1100,1113,1075,523,552,0,0,0
33,15,0001,00884600,0,0,VILLAGE,Unniyur,Rural,2299,1142,1157,237,125,112,0,0,0
33,15,0001,00884700,0,0,VILLAGE,Periapallipalayam,Rural,1487,722,765,227,112,115,0,0,0
33,15,0001,00884800,0,0,VILLAGE,Chinnapallipalayam,Rural,1302,649,653,183,92,91,3,2,1
33,15,0001,00884900,0,0,VILLAGE,Sriramasamudram,Rural,3234,1609,1625,1105,548,557,0,0,0
33,15,0001,00885000,0,0,VILLAGE,Kattuputtur ,Rural,1224,595,629,424,200,224,0,0,0
33,15,0001,00885100,0,0,VILLAGE,Seelaipillayarputhur  ,Rural,2266,1136,1130,674,329,345,0,0,0
33,15,0001,00885200,0,0,VILLAGE,Kaduvetti,Rural,3132,1533,1599,311,150,161,0,0,0
33,15,0001,00885300,0,0,VILLAGE,Natham  ,Rural,4118,2040,2078,796,367,429,0,0,0
33,15,0001,00885400,0,0,VILLAGE,M.Puthur  (Musiri),Rural,4505,2305,2200,1050,531,519,0,0,0
33,15,0001,00885500,0,0,VILLAGE,Arasalur ,Rural,3444,1710,1734,984,468,516,0,0,0
33,15,0001,00885600,0,0,VILLAGE,Thirunarayanapuram,Rural,518,254,264,107,47,60,0,0,0
33,15,0001,00885700,0,0,VILLAGE,Srinivasanallur ,Rural,4229,2116,2113,1133,532,601,0,0,0
